direction,SF,TF,logSF,logTF,cell1,cell2,cell3,cell1_spont,cell1_lessspont,cell1_norm,cell2_spont,cell2_lessspont,cell2_norm,cell3_spont,cell3_lessspont,cell3_norm
90,1,2,0,1,2.3598,2.1102,0.49681,1.7598,0.5999999999999999,0.0456475099283334,2.0824,0.027800000000000047,0.001444711213661358,0.30596,0.19084999999999996,0.021516735363884803
90,0.015754716981132073,8,-5.988072351863872,3,7.9491,5.7127,2.6074,1.7598,6.189299999999999,0.47087688866572325,2.0824,3.6303,0.18865953665305105,0.30596,2.3014400000000004,0.25946804000974094
90,0.03150943396226415,8,-4.988072351863872,3,9.6951,8.9483,2.7349,1.7598,7.9353,0.6037111425571735,2.0824,6.8659,0.3568072921538669,0.30596,2.42894,0.27384259468040006
90,0.06297169811320755,8,-3.9891526177630077,3,13.278,17.25,4.4678,1.7598,11.5182,0.87629524809421655,2.0824,15.1676,0.7882302807312941,0.30596,4.161840000000001,0.46921252243557954
90,0.125,8,-3,3,11.801,16.273,5.4652,1.7598,10.0412,0.7639262944873024,2.0824,14.1906,0.7374575161360731,0.30596,5.1592400000000005,0.5816609995219757
90,0.25,8,-2,3,5.8378,6.5841,2.857,1.7598,4.077999999999999,0.3102509091462394,2.0824,4.5017000000000005,0.23394447735752968,0.30596,2.5510400000000004,0.287608344682655
90,0.5,8,-1,3,4.2257,2.9832,0.74581,1.7598,2.4658999999999995,0.1876036578871289,2.0824,0.9008000000000003,0.04681280076496941,0.30596,0.43984999999999996,0.049589395073642815
90,1,8,0,3,4.099,2.235,0.37239,1.7598,2.3392,0.17796442537392917,2.0824,0.15260000000000007,0.00793032126635694,0.30596,0.06642999999999999,0.007489424837426604
90,0.015754716981132073,16,-5.988072351863872,4,4.5957,6.5832,1.8625,1.7598,2.8358999999999996,0.21575295567626784,2.0824,4.5008,0.2338977061311881,0.30596,1.55654,0.175486818251513
90,0.03150943396226415,16,-4.988072351863872,4,8.0815,9.0758,3.1082,1.7598,6.3217,0.48094977252324217,2.0824,6.993399999999999,0.3634332158855872,0.30596,2.8022400000000003,0.31592903592398514
90,0.06297169811320755,16,-3.9891526177630077,4,9.8141,14.534,4.7202,1.7598,8.0543,0.6127645653596263,2.0824,12.451600000000001,0.6470851132383358,0.30596,4.41424,0.49766850360322173
90,0.125,16,-3,4,14.381,21.325,9.1758,1.7598,12.6212,0.9602105871791361,2.0824,19.2426,1,0.30596,8.86984,1
90,0.25,16,-2,4,7.2058,7.7025,3.1065,1.7598,5.446,0.4143272317828396,2.0824,5.6201,0.2920655212913016,0.30596,2.80054,0.31573737519504297
90,0.5,16,-1,4,2.7322,2.2365,0.37258,1.7598,0.9724000000000002,0.07397939775718569,2.0824,0.15410000000000013,0.008008273310259535,0.30596,0.06662000000000001,0.00751084574242602
90,1,16,0,4,3.1051,3.6015,0.86941,1.7598,1.3453000000000002,0.1023493251776449,2.0824,1.5191000000000003,0.07894463326161748,0.30596,0.56345,0.06352425748378776
