direction,SF,TF,logSF,logTF,cell1,cell2,cell3,cell1_spont,cell1_lessspont,cell1_norm,cell2_spont,cell2_lessspont,cell2_norm,cell3_spont,cell3_lessspont,cell3_norm
90,0.015754716981132073,2,-5.988072351863872,1,20.465,24.851,2.9236,3.2476,17.2174,0.6270129718784824,3.4291,21.4219,0.8312115133148894,0.79949,2.12411,0.12718071599514053
90,0.03150943396226415,2,-4.988072351863872,1,11.699,14.626,14.623,3.2476,8.4514,0.30777802865321163,3.4291,11.1969,0.43446156472747444,0.79949,13.823509999999999,0.8276802516658671
90,0.06297169811320755,2,-3.9891526177630077,1,24.842,18.994,11.689,3.2476,21.5944,0.7864119390809704,3.4291,15.5649,0.6039484865299026,0.79949,10.88951,0.6520075130931274
90,0.125,2,-3,1,20.435,16.057,2.9179,3.2476,17.1874,0.6259204498277456,3.4291,12.627899999999999,0.4899871565542315,0.79949,2.11841,0.12683942948871088
90,0.25,2,-2,1,11.704,14.628,2.9262,3.2476,8.4564,0.30796011566166775,3.4291,11.1989,0.4345391686293987,0.79949,2.12671,0.12733639054193302
90,0.5,2,-1,1,19.007,13.161,7.3142,3.2476,15.759400000000001,0.5739164002126776,3.4291,9.7319,0.37761670656800617,0.79949,6.514709999999999,0.3900671256670803
90,1,2,0,1,10.228,8.7634,2.9211,3.2476,6.9803999999999995,0.2542080307654209,3.4291,5.334300000000001,0.20698124701710002,0.79949,2.12161,0.127031028930917
90,0.015754716981132073,8,-5.988072351863872,3,29.231,17.535,7.3044,3.2476,25.983400000000003,0.9462479151037532,3.4291,14.1059,0.547336440076207,0.79949,6.504910000000001,0.38948035237532413
90,0.03150943396226415,8,-4.988072351863872,3,30.707,19.005,8.7782,3.2476,27.459400000000002,1,3.4291,15.575899999999999,0.6043753079904857,0.79949,7.9787099999999995,0.477723870476382
90,0.06297169811320755,8,-3.9891526177630077,3,20.44,29.201,8.7589,3.2476,17.192400000000003,0.6261025368362019,3.4291,25.771900000000002,1,0.79949,7.95941,0.47656828634057635
90,0.125,8,-3,3,16.079,19.003,14.619,3.2476,12.8314,0.46728624806077335,3.4291,15.5739,0.6042977040885615,0.79949,13.81951,0.8274407523631095
90,0.25,8,-2,3,18.988,13.154,7.3033,3.2476,15.7404,0.5732244695805443,3.4291,9.7249,0.37734509291127155,0.79949,6.50381,0.3894144900670657
90,0.5,8,-1,3,19.007,16.084,7.3124,3.2476,15.759400000000001,0.5739164002126776,3.4291,12.6549,0.49103480923020804,0.79949,6.51291,0.3899593509808394
90,1,8,0,3,10.226,11.683,2.9207,3.2476,6.978400000000001,0.2541351959620385,3.4291,8.2539,0.32026742304603073,0.79949,2.12121,0.12700707900064123
90,0.015754716981132073,16,-5.988072351863872,4,16.071,18.993,1.4604,3.2476,12.823400000000001,0.4669949088472436,3.4291,15.563899999999999,0.6039096845789406,0.79949,0.6609099999999999,0.0395718710463904
90,0.03150943396226415,16,-4.988072351863872,4,20.477,13.164,4.3866,3.2476,17.229400000000002,0.6274499806987771,3.4291,9.7349,0.37773311242089247,0.79949,3.5871099999999996,0.21477758597875277
90,0.06297169811320755,16,-3.9891526177630077,4,20.464,20.464,14.616,3.2476,17.2164,0.6269765544767911,3.4291,17.0349,0.6609873544441814,0.79949,13.81651,0.8272611278860412
90,0.125,16,-3,4,27.709,24.786,17.501,3.2476,24.4614,0.89082062972971,3.4291,21.356900000000003,0.8286893865023534,0.79949,16.701510000000003,1
90,0.25,16,-2,4,26.305,8.7688,7.3102,3.2476,23.0574,0.8396905977552314,3.4291,5.339700000000001,0.20719077755229534,0.79949,6.5107099999999996,0.38982762636432267
90,0.5,16,-1,4,10.227,7.3047,2.92,3.2476,6.9794,0.25417161336372973,3.4291,3.8756000000000004,0.15038084114869296,0.79949,2.12051,0.12696516662265864
90,1,16,0,4,11.692,13.154,5.8451,3.2476,8.4444,0.3075231068413731,3.4291,9.7249,0.37734509291127155,0.79949,5.04561,0.30210501924676264
