"","name","Amp","Q","X_peak","Y_peak","X_sig","Y_sig","method","amplitude","orientation","rss","rmse","deviance","AIC","R2","R2_adj"
"38","CALSTC08-LM-03-3575-cell1",1,1.31107763910973,-2.61750490275942,16.1009756527093,6.5036292688549,16.974823692787,"elliptical_log","constrained","unconstrained",0.945106752233188,0.150008472160201,0.945106752233188,-28.1624976654886,0.643715688625421,0.634808580841056
"39","CALSTC08-LM-03-3575-cell2",1,0.941924674330721,-4.29847097523887,19.5268008644911,4.80166171713235,25.4522430689081,"elliptical_log","constrained","unconstrained",0.678179952750593,0.127071404069354,0.678179952750593,-42.1016767660472,0.670490698150218,0.662252965603973
"40","CALSTC08-LM-03-3622-cell1",1,-2.37394796996317,-4.99349649739068,12.7507702942361,4.67330502241318,17.0369393758016,"elliptical_log","constrained","unconstrained",0.648372294478215,0.124247477168813,0.648372294478215,-43.9894763805906,0.605249732401711,0.595380975711754
"41","CALSTC08-LM-03-3681-cell1",1,0.980692905155613,-2.19038339163837,13.3164030872555,4.90957072880814,16.5404574460548,"elliptical_log","constrained","unconstrained",1.00950531909661,0.155034966800627,1.00950531909661,-25.3939492112101,0.539750732710467,0.528244501028228
"42","CALSTC08-LM-03-3681-cell2",1,0.919149183406244,-3.19974600484939,13.7329473829564,5.571171660579,18.0176002378453,"elliptical_log","constrained","unconstrained",0.736656351830932,0.132436539324899,0.736656351830932,-38.6279057402983,0.668566387800629,0.660280547495644
"43","CALSTC08-LM-03-3739-cell1",1,-1.21395481145729,-1.91636515283419,2.37835130170995,2.63279407995112,2.36845575225638,"elliptical_log","constrained","unconstrained",1.92796896427809,0.214252241432854,1.92796896427809,1.78033096638247,0.553689069526907,0.54253129626508
"44","CALSTC08-LM-04-3345-cell2",1,-0.635951730686385,-2.19886690853952,1.47943167517943,1.5108737448251,3.40097330443496,"elliptical_log","constrained","unconstrained",0.93528333112039,0.193420095245597,0.93528333112039,0.802386847006233,0.544176819657719,0.524358420512402
"45","CALSTC08-LM-04-3411-cell1",1,-1.47266188711124,-3.66016839686015,12.5583039233878,4.12566523914206,14.1439754044113,"elliptical_log","constrained","unconstrained",0.737245484804365,0.132489486088193,0.737245484804365,-38.5943301172997,0.571060551464564,0.560337065251178
"46","CALSTC08-LM-04-3411-cell2",1,-0.99984077416241,-7.34391025056396,3.05279727885858,5.62649890340153,1.47905265736362,"elliptical_log","constrained","unconstrained",1.56287414587074,0.228245054409418,1.56287414587074,8.49618636205519,0.55347449623631,0.537527156816178
"47","CALSTC08-LM-04-3482-cell1",1,-1.03213979285354,-3.45609531715293,2.6523194149223,3.18085642234905,3.75012302490984,"elliptical_log","constrained","unconstrained",1.38944511963357,0.181884652068123,1.38944511963357,-11.9772993154374,0.687638881608201,0.679829853648406
"48","CALSTC08-LM-04-3482-cell2",1,-1.2503041788773,-2.82835868495595,2.55377598878564,3.20327361999865,2.04876629378829,"elliptical_log","constrained","unconstrained",1.45646331759695,0.203993229411241,1.45646331759695,0.0489040848777229,0.618469678994377,0.606908154115419
"49","CALSTC08-LM-04-3551-cell1",1,-0.44993615184297,-1.66311672083324,1.33591576922502,2.19211133387522,1.41489483309816,"elliptical_log","constrained","unconstrained",1.35924998864004,0.179897456812541,1.35924998864004,-12.9000982938815,0.570732576039343,0.560000890440327
"50","CALSTC09-LM-02-2941-cell1",1,-0.962877132875255,-2.78128030809075,2.29316490918327,2.44717304003664,1.67310220602039,"elliptical_log","constrained","unconstrained",0.731127326924878,0.131938597454313,0.731127326924878,-38.9443285862489,0.72795352100295,0.721152359028024
"51","CALSTC09-LM-02-2941-cell2",0.913670355967694,-0.683002098733375,-2.53825513304224,2.44648062889298,1.74766481529683,1.61047430165515,"elliptical_log","constrained","unconstrained",0.578297567957586,0.170043754363044,0.578297567957586,-2.11043852949006,0.586425332987609,0.563448962598032
"52","CALSTC09-LM-02-3001-cell1",1,-3.32654943113173,-10.6287806806071,23.1817568204995,8.38638309184431,13.4706921675223,"elliptical_log","constrained","unconstrained",1.65082874340405,0.198256011942955,1.65082874340405,-4.73763509571397,0.215633008252999,0.196023833459324
"53","CALSTC09-LM-02-3001-cell2",1,-2.68437323023293,-10.7016572679709,18.5876652660231,8.51291885323758,10.5039619404955,"elliptical_log","constrained","unconstrained",2.03374378536141,0.220051064710066,2.03374378536141,4.0236024205964,0.205887791785792,0.186034986580437
"54","CALSTC09-LM-03-3163-cell1",1,-1.71264513348001,-4.18411192585473,1.75199058812351,1.88838749538671,1.55048802748674,"elliptical_log","constrained","unconstrained",0.940982585736226,0.183320814200545,0.940982585736226,-3.54442650485241,0.558578130976868,0.54160036678367
"55","CALSTC09-LM-03-3163-cell2",1,-2.51366517390719,-9.81762131518731,15.6200662780525,5.78130897498266,11.5203780862604,"elliptical_log","constrained","unconstrained",1.14588226332296,0.165175394752061,1.14588226332296,-20.0719423888403,0.36399347204822,0.348093308849426
"56","CALSTC09-LM-03-3220-cell1",1,0.421618318901295,-3.83234013487395,2.07115240238237,1.26461107759854,2.13289862591709,"elliptical_log","constrained","unconstrained",0.899265307638731,0.146325249882934,0.899265307638731,-30.2507284815954,0.655987708750707,0.647387401469474
"57","CALSTC09-LM-03-3220-cell2",1,-0.120428536240468,-3.9286407105721,2.29945264056789,1.55538362555823,1.21281571908681,"elliptical_log","constrained","unconstrained",1.50645953698367,0.189388711949516,1.50645953698367,-8.58127392728084,0.4585806932011,0.445045210531128
"58","CALSTC09-LM-03-3285-cell1",1,-1.28435614513432,-2.44028263768368,-0.710155803978507,1.30861539137381,3.97634581276574,"elliptical_log","constrained","unconstrained",0.735666138480147,0.132347498805242,0.735666138480147,-38.6844001119829,0.771095676218715,0.765373068124183
"59","CALSTC09-LM-03-3285-cell2",1,-1.01041787385379,-2.43141892662221,1.11028662340221,1.36984680085668,4.96012895484237,"elliptical_log","constrained","unconstrained",3.62045304449619,0.293600515946745,3.62045304449619,28.245877894945,0.255471928847419,0.236858727068605
"60","CALSTC09-LM-03-3530-cell1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","CALSTC09-LM-03-3530-cell2",0.944396804271319,2.42857064522004,-5.96348602480819,-24.6322647741414,4.33551028532026,41.6781816965938,"elliptical_log","constrained","unconstrained",0.46912198724868,0.129438621313165,0.46912198724868,-23.0341568466007,0.727565448369373,0.717087196383579
"62","CALSTC09-LM-03-3530-cell3",1,3.38296867859678,0.842049931259301,24.0752788068652,7.65480484749333,10.6717838588508,"elliptical_log","constrained","unconstrained",1.07423963426254,0.159928528252804,1.07423963426254,-22.7835372160979,0.603465514872448,0.593552152744259
